,charges,sentence
accusation,0.06666666666666667,0.004950495049504949
accuse,0.36666666666666686,0.17326732673267317
activity,0.26190476190476203,0.1237623762376237
allegation,0.3428571428571429,0.02970297029702969
allege,0.5285714285714286,0.1683168316831683
allege money,0.1428571428571429,0.01485148514851485
allegedly,0.26190476190476203,0.06435643564356433
alleges,0.1047619047619048,0.0099009900990099
allow,0.11904761904761905,0.25247524752475237
appeal,0.08571428571428572,0.2673267326732673
charge,0.7095238095238097,0.2178217821782177
charge money,0.11428571428571432,0.004950495049504949
charges,0.11428571428571432,0.004950495049504949
columns,0.11904761904761905,0.02970297029702969
concurrently,0.004761904761904763,0.07425742574257424
convict,0.014285714285714294,0.4356435643564357
conviction,0.019047619047619056,0.3168316831683166
directorate,0.12380952380952384,0.004950495049504949
district judge,0.02380952380952382,0.1287128712871287
document,0.2857142857142857,0.13861386138613854
enforcement directorate,0.11428571428571432,0.004950495049504949
entity,0.12857142857142861,0.03465346534653465
federal prison,0.019047619047619056,0.11881188118811879
financial,0.42857142857142866,0.22772277227722768
found guilty,0.03333333333333335,0.15841584158415836
get,0.07142857142857144,0.24257425742574246
give,0.22857142857142868,0.3811881188118812
guilty,0.18571428571428572,0.391089108910891
horse,0.009523809523809526,0.1089108910891089
impose,0.052380952380952396,0.15841584158415836
imprisonment,0.03333333333333335,0.1287128712871287
indictment,0.1904761904761905,0.0495049504950495
inquiry,0.14761904761904765,0.02970297029702969
investigation,0.4857142857142856,0.2821782178217821
jail,0.09523809523809525,0.3762376237623761
jail sentence,0.014285714285714294,0.11881188118811879
judge,0.2142857142857143,0.47524752475247506
laundering,0.8666666666666667,0.7376237623762374
laundering charge,0.25714285714285723,0.01485148514851485
location,0.14761904761904765,0.05445544554455445
money,0.904761904761905,0.7871287128712868
money laundering,0.8666666666666667,0.7178217821782175
month,0.3476190476190476,0.5396039603960393
month prison,0.004761904761904763,0.13366336633663362
plead,0.09523809523809525,0.2574257425742574
plead guilty,0.09047619047619047,0.2475247524752474
prison,0.09523809523809525,0.6485148514851481
prison sentence,0.009523809523809526,0.2673267326732673
probe,0.18571428571428572,0.05940594059405939
punishment,0.004761904761904763,0.094059405940594
review,0.2857142857142857,0.13366336633663362
risk,0.22380952380952382,0.1089108910891089
sell,0.18095238095238098,0.37128712871287106
sentence,0.07142857142857144,0.8564356435643564
sentence money,0.004761904761904763,0.08415841584158414
sentence month,0.004761904761904763,0.13366336633663362
sentence year,0.02380952380952382,0.29207920792079206
serve,0.10000000000000002,0.4603960396039604
serve sentence,0.004761904761904763,0.09900990099009896
serve year,0.004761904761904763,0.14851485148514848
suspend,0.057142857142857155,0.16336633663366332
suspend sentence,0.009523809523809526,0.07425742574257424
terms privacy,0.2142857142857143,0.094059405940594
tie,0.13809523809523813,0.039603960396039584
time,0.4428571428571431,0.6039603960396038
transaction,0.2190476190476191,0.08415841584158414
updated,0.3714285714285715,0.20297029702970293
want,0.1904761904761905,0.34653465346534656
weather,0.18095238095238098,0.3267326732673265
wish,0.009523809523809526,0.08415841584158414
year,0.519047619047619,0.8316831683168313
year jail,0.009523809523809526,0.094059405940594
year prison,0.052380952380952396,0.31188118811881177
year sentence,0.004761904761904763,0.22277227722772266
